date,BadWeather,Average,3DayAverage,7DayAverage,High,Low
20140304,0,-6,-3,-2.05,-1.6,-10.50000000000000
20140305,0,0,-3,-0.664285714285714,3.9,-3.2
20140306,0,-5,-2,-0.342857142857143,-0.5,-8.8
20140307,1,0,0.983333333333333,1.15714285714286,2.8,-3.2
20140308,0,7.8,4.01666666666667,3.88571428571429,13.90000000000000,1.7
20140309,0,4.45,6.21666666666667,4.78571428571429,6.7,2.2
20140310,1,6.4,7.96666666666667,4.9,10.60000000000000,2.2
20140311,0,13.05,8.7,5.09285714285714,18.90000000000000,7.2
20140312,0,6.65,5.28333333333333,5.40714285714286,13.30000000000000,0
20140313,0,-4,1.31666666666667,5.1,0,-7.7
20140314,0,1,2.43333333333333,3.95714285714286,7.8,-5.5
20140315,0,10,4.48333333333333,2.37857142857143,14.40000000000000,5.6
20140316,0,2,3.56666666666667,1.98571428571429,5.6,-1
20140317,0,-2,1,3.72142857142857,1.7,-4.9
20140318,0,2,1.43333333333333,4.59285714285714,6.1,-2.1
20140319,0,3.9,4.73333333333333,4.75,7.8,0
20140320,0,8.3,6.48333333333333,4.62857142857143,12.20000000000000,4.4
20140321,0,7.25,8.88333333333333,4.55,10.60000000000000,3.9
20140322,0,11.1,6.6,4.31428571428571,17.20000000000000,5
20140323,0,1,3.46666666666667,3.60714285714286,5.6,-2.7
20140324,0,-2,0,2.50714285714286,1.7,-6
20140325,0,0,-1,2.86428571428571,3.9,-3.2
20140326,0,-1,0,2.78571428571429,2.2,-4.3
20140327,0,1,3.1,3.52857142857143,6.7,-5.5
20140328,0,9.75,6.96666666666667,4.94285714285714,16.70000000000000,2.8
20140329,1,10.55,8.98333333333333,6.28571428571429,15.00000000000000,6.1
20140330,0,6.65,8.31666666666667,7.70714285714286,9.4,3.9
20140331,1,7.75,8.05,9.56428571428571,13.30000000000000,2.2
20140401,0,9.75,8.8,9.07857142857143,15.60000000000000,3.9
20140402,0,8.9,10.75,8.75714285714286,12.20000000000000,5.6
20140403,0,13.6,9.61666666666667,9.11428571428572,19.40000000000000,7.8
20140404,0,6.35,9.41666666666667,9.27857142857143,8.3,4.4
20140405,1,8.3,7.93333333333333,9.71428571428571,12.20000000000000,4.4
20140406,0,9.15,8.78333333333333,10.1071428571429,16.10000000000000,2.2
20140407,0,8.9,10.2833333333333,9.59285714285714,11.70000000000000,6.1
20140408,0,12.8,11.1166666666667,11.3428571428571,17.80000000000000,7.8
20140409,0,11.65,11.4833333333333,12.5,16.10000000000000,7.2
